pilot_id,_company_key,cik,symbol,security,sec_entity_name,sec_tickers,sec_exchanges,sic,sic_description,state_of_incorporation,fiscal_year_end,metadata_source,metadata_status,historical_fragment_count,retrieved_at,selection_status,replacement_status,replacement_for,replaced_by,replacement_reason,original_pilot_id,replacement_pilot_id,sampling_seed,reserve_order,within_sector_random_order,analysis_included,final_sample_status
P2025-030,cik:0000038777,0000038777,BEN,Franklin Resources,FRANKLIN RESOURCES INC,BEN,NYSE,6282,Investment Advice,DE,1231,https://data.sec.gov/submissions/CIK0000038777.json,success,0,2026-07-29T10:25:40.883393+00:00,,not_replaced,,,,P2025-030,,20250729,,,1,included
P2025-031,cik:0001393818,0001393818,BX,Blackstone Inc.,Blackstone Inc.,BX,NYSE,6282,Investment Advice,DE,1231,https://data.sec.gov/submissions/CIK0001393818.json,success,0,2026-07-29T10:25:40.908771+00:00,,not_replaced,,,,P2025-031,,20250729,,,1,included
P2025-032,cik:0001281761,0001281761,RF,Regions Financial Corporation,REGIONS FINANCIAL CORP,RF|RF-PC|RF-PE|RF-PF,NYSE|NYSE|NYSE|NYSE,6021,National Commercial Banks,DE,1231,https://data.sec.gov/submissions/CIK0001281761.json,success,0,2026-07-29T10:25:40.930245+00:00,,not_replaced,,,,P2025-032,,20250729,,,1,included
P2025-033,cik:0000895421,0000895421,MS,Morgan Stanley,MORGAN STANLEY,MS|MS-PK|MS-PE|MS-PA|MS-PF|MS-PI|MS-PL|MS-PO|MS-PP|MS-PQ,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE,6211,"Security Brokers, Dealers & Flotation Companies",DE,1231,https://data.sec.gov/submissions/CIK0000895421.json,success,5,2026-07-29T10:25:40.964018+00:00,,not_replaced,,,,P2025-033,,20250729,,,1,included
P2025-034,cik:0000004977,0000004977,AFL,Aflac,AFLAC INC,AFL,NYSE,6321,Accident & Health Insurance,GA,1231,https://data.sec.gov/submissions/CIK0000004977.json,success,0,2026-07-29T10:25:48.852082+00:00,,not_replaced,,,,P2025-034,,20250729,,,1,included
P2025-035,cik:0001136893,0001136893,FIS,Fidelity National Information Services,"Fidelity National Information Services, Inc.",FIS,NYSE,7389,"Services-Business Services, NEC",,1231,https://data.sec.gov/submissions/CIK0001136893.json,success,0,2026-07-29T10:25:48.979602+00:00,,not_replaced,,,,P2025-035,,20250729,,,1,included
P2025-036,cik:0000036270,0000036270,MTB,M&T Bank,M&T BANK CORP,MTB|MTB-PH|MTB-PJ|MTB-PK,NYSE|NYSE|NYSE|NYSE,6022,State Commercial Banks,NY,1231,https://data.sec.gov/submissions/CIK0000036270.json,success,0,2026-07-29T10:25:49.030804+00:00,,not_replaced,,,,P2025-036,,20250729,,,1,included
P2025-037,cik:0001512673,0001512673,XYZ,"Block, Inc.","Block, Inc.",XYZ|BSQKZ,NYSE|OTC,7372,Services-Prepackaged Software,DE,1231,https://data.sec.gov/submissions/CIK0001512673.json,success,0,2026-07-29T10:25:49.057835+00:00,,not_replaced,,,,P2025-037,,20250729,,,1,included
P2025-038,cik:0002012383,0002012383,BLK,BlackRock,"BlackRock, Inc.",BLK,NYSE,6211,"Security Brokers, Dealers & Flotation Companies",DE,1231,https://data.sec.gov/submissions/CIK0002012383.json,success,2,2026-07-29T10:25:49.082100+00:00,,not_replaced,,,,P2025-038,,20250729,,,1,included
P2025-039,cik:0000072971,0000072971,WFC,Wells Fargo,WELLS FARGO & COMPANY/MN,WFC|WFC-PY|WFC-PL|WFC-PC|WFCNP|WFC-PA|WFC-PD|WFC-PZ,NYSE|NYSE|NYSE|NYSE|OTC|NYSE|NYSE|NYSE,6021,National Commercial Banks,DE,1231,https://data.sec.gov/submissions/CIK0000072971.json,success,1,2026-07-29T10:25:49.307689+00:00,,not_replaced,,,,P2025-039,,20250729,,,1,included
