pilot_id,_company_key,cik,symbol,security,form,filing_date,report_date,acceptance_datetime,accession_number,primary_document,primary_doc_description,file_number,film_number,is_xbrl,is_inline_xbrl,metadata_fragment,eligible_2025_10k,selection_status,selection_reason,amendment_exists,amendment_accession_numbers,amendment_filing_dates,amendment_report_dates,amendment_link_status,manual_review_required,replacement_status,replacement_for,replaced_by,replacement_reason,original_pilot_id,replacement_pilot_id,sampling_seed,reserve_order,within_sector_random_order,analysis_included,final_sample_status
P2025-037,cik:0001512673,0001512673,XYZ,"Block, Inc.",10-K,2026-02-26,2025-12-31,2026-02-26T21:07:56.000Z,0001628280-26-012254,xyz-20251231.htm,10-K,001-37622,26687926,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-037,,20250729,,,1,included
P2025-038,cik:0002012383,0002012383,BLK,BlackRock,10-K,2026-02-25,2025-12-31,2026-02-25T21:57:59.000Z,0001193125-26-071966,blk-20251231.htm,10-K,001-42297,26679854,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-038,,20250729,,,1,included
P2025-039,cik:0000072971,0000072971,WFC,Wells Fargo,10-K,2026-02-24,2025-12-31,2026-02-24T21:46:31.000Z,0000072971-26-000133,wfc-20251231_d2.htm,FORM 10-K,001-02979,26672509,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-039,,20250729,,,1,included
P2025-040,cik:0000315293,0000315293,AON,Aon plc,10-K,2026-02-13,2025-12-31,2026-02-13T21:15:50.000Z,0001628280-26-008116,aon-20251231.htm,10-K,001-07933,26633057,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-040,,20250729,,,1,included
P2025-041,cik:0001035267,0001035267,ISRG,Intuitive Surgical,10-K,2026-02-03,2025-12-31,2026-02-03T21:59:59.000Z,0001035267-26-000010,isrg-20251231.htm,10-K,000-30713,26594195,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-041,,20250729,,,1,included
P2025-042,cik:0000313616,0000313616,DHR,Danaher Corporation,10-K,2026-02-24,2025-12-31,2026-02-24T21:36:41.000Z,0000313616-26-000062,dhr-20251231.htm,10-K,001-08089,26672304,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-042,,20250729,,,1,included
P2025-043,cik:0000860730,0000860730,HCA,HCA Healthcare,10-K,2026-02-10,2025-12-31,2026-02-10T21:27:54.000Z,0001193125-26-044769,hca-20251231.htm,10-K,001-11239,26616403,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-043,,20250729,,,1,included
P2025-044,cik:0000872589,0000872589,REGN,Regeneron Pharmaceuticals,10-K,2026-02-04,2025-12-31,2026-02-04T14:08:38.000Z,0000872589-26-000008,regn-20251231.htm,10-K,000-19034,26596224,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-044,,20250729,,,1,included
P2025-045,cik:0001071739,0001071739,CNC,Centene Corporation,10-K,2026-02-17,2025-12-31,2026-02-17T21:31:45.000Z,0001071739-26-000049,cnc-20251231.htm,10-K,001-31826,26642294,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-045,,20250729,,,1,included
P2025-046,cik:0001000228,0001000228,HSIC,Henry Schein,10-K,2026-02-24,2025-12-27,2026-02-24T21:42:20.000Z,0001000228-26-000013,hsic-20251227.htm,THE 2025 ANNUAL 10-K REPORT,000-27078,26672433,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-046,,20250729,,,1,included
P2025-047,cik:0001000697,0001000697,WAT,Waters Corporation,10-K,2026-02-23,2025-12-31,2026-02-23T14:10:03.000Z,0001193125-26-062604,d778470d10k.htm,10-K,001-14010,26662274,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-047,,20250729,,,1,included
P2025-048,cik:0000731766,0000731766,UNH,UnitedHealth Group,10-K,2026-03-02,2025-12-31,2026-03-02T11:06:21.000Z,0000731766-26-000062,unh-20251231.htm,10-K,001-10864,26703269,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-048,,20250729,,,1,included
P2025-049,cik:0001555280,0001555280,ZTS,Zoetis,10-K,2026-02-12,2025-12-31,2026-02-12T21:49:26.000Z,0001555280-26-000011,zts-20251231.htm,10-K,001-35797,26627208,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-049,,20250729,,,1,included
P2025-050,cik:0000010456,0000010456,BAX,Baxter International,10-K,2026-02-12,2025-12-31,2026-02-12T21:46:04.000Z,0001628280-26-007733,bax-20251231.htm,10-K,001-04448,26627172,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-050,,20250729,,,1,included
P2025-051,cik:0000842023,0000842023,TECH,Bio-Techne,10-K,2025-08-22,2025-06-30,2025-08-22T10:31:16.000Z,0001558370-25-011716,tech-20250630x10k.htm,10-K,000-17272,251242163,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-051,,20250729,,,1,included
P2025-052,cik:0001093557,0001093557,DXCM,Dexcom,10-K,2026-02-12,2025-12-31,2026-02-12T22:20:56.000Z,0001093557-26-000027,dxcm-20251231.htm,10-K,000-51222,26627664,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-052,,20250729,,,1,included
P2025-053,cik:0000936468,0000936468,LMT,Lockheed Martin,10-K,2026-01-29,2025-12-31,2026-01-29T22:18:08.000Z,0001628280-26-004195,lmt-20251231.htm,10-K,001-11437,26579343,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-053,,20250729,,,1,included
P2025-054,cik:0000702165,0000702165,NSC,Norfolk Southern,10-K,2026-02-09,2025-12-31,2026-02-09T16:58:09.000Z,0001628280-26-006268,nsc-20251231.htm,10-K,001-08339,26610381,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-054,,20250729,,,1,included
P2025-055,cik:0000052988,0000052988,J,Jacobs Solutions,10-K,2025-11-20,2025-09-26,2025-11-20T12:03:08.000Z,0001628280-25-053316,jec-20250926.htm,10-K,001-07463,251500984,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-055,,20250729,,,1,included
P2025-056,cik:0000105634,0000105634,EME,Emcor,10-K,2026-02-26,2025-12-31,2026-02-26T12:34:02.000Z,0000105634-26-000025,eme-20251231.htm,FORM 10-K,001-08267,26681723,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-056,,20250729,,,1,included
P2025-057,cik:0000076334,0000076334,PH,Parker Hannifin,10-K,2025-08-22,2025-06-30,2025-08-22T12:01:10.000Z,0000076334-25-000035,ph-20250630.htm,10-K,001-04982,251242238,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-057,,20250729,,,1,included
P2025-058,cik:0000900075,0000900075,CPRT,Copart,10-K,2025-09-26,2025-07-31,2025-09-26T20:33:59.000Z,0001628280-25-042946,cprt-20250731.htm,10-K,000-23255,251351028,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-058,,20250729,,,1,included
P2025-059,cik:0000217346,0000217346,TXT,Textron,,,,,,,,,,,,,False,excluded_after_filing_validation,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,True,replaced,,P2025-R001,no_eligible_2025_report_date_10k,P2025-059,,,,,0,excluded
P2025-060,cik:0001090727,0001090727,UPS,United Parcel Service,10-K,2026-02-17,2025-12-31,2026-02-17T18:13:40.000Z,0001628280-26-008432,ups-20251231.htm,10-K,001-15451,26639164,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-060,,20250729,,,1,included
P2025-061,cik:0001048911,0001048911,FDX,FedEx,10-K,2025-07-21,2025-05-31,2025-07-21T20:13:19.000Z,0001048911-25-000011,fdx-20250531.htm,10-K,001-15829,251137426,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-061,,20250729,,,1,included
P2025-062,cik:0001067701,0001067701,URI,United Rentals,10-K,2026-01-28,2025-12-31,2026-01-28T21:19:17.000Z,0001067701-26-000007,uri-20251231.htm,10-K,001-14387,26572702,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-062,,20250729,,,1,included
P2025-063,cik:0001316835,0001316835,BLDR,Builders FirstSource,10-K,2026-02-17,2025-12-31,2026-02-17T21:12:26.000Z,0001193125-26-054643,bldr-20251231.htm,10-K,001-40620,26641341,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-063,,20250729,,,1,included
P2025-064,cik:0000040545,0000040545,GE,GE Aerospace,10-K,2026-01-29,2025-12-31,2026-01-29T11:32:04.000Z,0000040545-26-000008,ge-20251231.htm,10-K,001-00035,26574614,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,True,not_replaced,,,,P2025-064,,20250729,,,1,included
P2025-065,cik:0001035983,0001035983,FIX,Comfort Systems USA,10-K,2026-02-19,2025-12-31,2026-02-19T21:04:27.000Z,0001104659-26-017530,fix-20251231x10k.htm,10-K,001-13011,26654278,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-065,,20250729,,,1,included
P2025-066,cik:0000062996,0000062996,MAS,Masco,10-K,2026-02-10,2025-12-31,2026-02-10T12:04:21.000Z,0000062996-26-000005,mas-20251231.htm,10-K,001-05794,26613432,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-066,,20250729,,,1,included
