sample,method,variable_1,variable_2,correlation,pairwise_N,pvalue
full_sample,pearson,ai_past_tense_share,average_word_length,-0.0007817158170375553,1593,0.9751294420047599
full_sample,pearson,ai_past_tense_share,lexical_density,0.021814296093539996,1593,0.3842560906191307
full_sample,pearson,ai_past_tense_share,root_type_token_ratio,0.008862923324627039,1593,0.7237362321114723
full_sample,pearson,ai_present_tense_share,ai_present_tense_share,0.9999999999999997,1593,0.0
full_sample,pearson,ai_present_tense_share,ai_future_tense_share,-0.45003088737774266,1593,2.8936738939484363e-80
full_sample,pearson,ai_present_tense_share,lm_positive_share,-0.10059158574600706,1593,5.772926914218202e-05
full_sample,pearson,ai_present_tense_share,lm_negative_share,0.0574528950110143,1593,0.021837791258040678
full_sample,pearson,ai_present_tense_share,lm_uncertainty_share,0.10536696871014246,1593,2.5101796589184727e-05
full_sample,pearson,ai_present_tense_share,passive_voice_sentence_share,-0.025813901910236508,1593,0.3031707144330075
full_sample,pearson,ai_present_tense_share,fog_index,0.032163994901186,1593,0.19946873537144852
full_sample,pearson,ai_present_tense_share,ai_lm_positive_share,-0.12971064786069594,1593,2.0476338154965926e-07
full_sample,pearson,ai_present_tense_share,ai_lm_negative_share,0.19493976965032697,1593,4.1659634299455604e-15
full_sample,pearson,ai_present_tense_share,ai_lm_uncertainty_share,0.2055378416287954,1593,1.1742946008923968e-16
full_sample,pearson,ai_present_tense_share,ai_passive_voice_sentence_share,0.04448547835147717,1593,0.07589666828010838
full_sample,pearson,ai_present_tense_share,ai_fog_index,0.0641606244738071,1593,0.010424103769664404
full_sample,pearson,ai_present_tense_share,log_report_word_count,0.0018701659792463253,1593,0.9405454713744752
full_sample,pearson,ai_present_tense_share,report_word_count,0.018517903198969916,1593,0.4601637745251374
full_sample,pearson,ai_present_tense_share,numeric_token_share,-0.03804154702177697,1593,0.12909329670346237
full_sample,pearson,ai_present_tense_share,average_word_length,-0.00906838233349536,1593,0.717602934518843
full_sample,pearson,ai_present_tense_share,lexical_density,-0.023838583872058408,1593,0.3416838534490287
full_sample,pearson,ai_present_tense_share,root_type_token_ratio,-0.008255942752147884,1593,0.7419580594431547
full_sample,pearson,ai_future_tense_share,ai_future_tense_share,1.0,1593,0.0
full_sample,pearson,ai_future_tense_share,lm_positive_share,0.04677412165278072,1593,0.06198209998142654
full_sample,pearson,ai_future_tense_share,lm_negative_share,0.028531978851922886,1593,0.2550713546325115
full_sample,pearson,ai_future_tense_share,lm_uncertainty_share,-0.04213257461438476,1593,0.09275538122074743
full_sample,pearson,ai_future_tense_share,passive_voice_sentence_share,0.017765202165559393,1593,0.47860299230659303
full_sample,pearson,ai_future_tense_share,fog_index,0.028742570598790488,1593,0.25157945483957883
full_sample,pearson,ai_future_tense_share,ai_lm_positive_share,0.08051275893517924,1593,0.00129919507719784
full_sample,pearson,ai_future_tense_share,ai_lm_negative_share,-0.07748420711709449,1593,0.0019694102321033435
full_sample,pearson,ai_future_tense_share,ai_lm_uncertainty_share,-0.05976711718222896,1593,0.017046202191509374
full_sample,pearson,ai_future_tense_share,ai_passive_voice_sentence_share,-0.03410618163358825,1593,0.17364424699713688
full_sample,pearson,ai_future_tense_share,ai_fog_index,-0.04110781013441728,1593,0.10098086470370607
full_sample,pearson,ai_future_tense_share,log_report_word_count,-0.01514961069921475,1593,0.5456991001222864
full_sample,pearson,ai_future_tense_share,report_word_count,-0.02506661863924547,1593,0.31738757029509324
full_sample,pearson,ai_future_tense_share,numeric_token_share,0.019927940418047334,1593,0.42671437874028734
full_sample,pearson,ai_future_tense_share,average_word_length,0.018926132339586905,1593,0.45033173061133014
full_sample,pearson,ai_future_tense_share,lexical_density,0.008340588169781596,1593,0.7394080076110722
full_sample,pearson,ai_future_tense_share,root_type_token_ratio,0.0006191921519647684,1593,0.9802990006340799
full_sample,pearson,lm_positive_share,lm_positive_share,0.9999999999999999,2829,0.0
full_sample,pearson,lm_positive_share,lm_negative_share,0.19418931572776849,2829,1.938643846627332e-25
full_sample,pearson,lm_positive_share,lm_uncertainty_share,0.21311714322323627,2829,2.0411650283834222e-30
full_sample,pearson,lm_positive_share,passive_voice_sentence_share,-0.31834246751568435,2829,1.1961654198156678e-67
full_sample,pearson,lm_positive_share,fog_index,-0.0018563631143006375,2829,0.9213817648598429
full_sample,pearson,lm_positive_share,ai_lm_positive_share,0.12780810641801532,1660,1.7432838156897813e-07
full_sample,pearson,lm_positive_share,ai_lm_negative_share,-0.11333071690976165,1660,3.67637615506983e-06
full_sample,pearson,lm_positive_share,ai_lm_uncertainty_share,-0.08263526006478489,1660,0.0007515583201442828
full_sample,pearson,lm_positive_share,ai_passive_voice_sentence_share,-0.051968361090908854,1660,0.03424391749181244
full_sample,pearson,lm_positive_share,ai_fog_index,-0.041496259734491184,1660,0.09100106041209835
full_sample,pearson,lm_positive_share,log_report_word_count,-0.2650449661923037,2829,1.0896468673592684e-46
full_sample,pearson,lm_positive_share,report_word_count,-0.3055179928988846,2829,3.4404845901716467e-62
full_sample,pearson,lm_positive_share,numeric_token_share,-0.24271602936111933,2829,3.2784289219990356e-39
full_sample,pearson,lm_positive_share,average_word_length,0.1495279750987485,2829,1.2998039518517465e-15
full_sample,pearson,lm_positive_share,lexical_density,-0.17530891417057398,2829,5.825974334812645e-21
full_sample,pearson,lm_positive_share,root_type_token_ratio,0.5257204705387636,2829,7.439676384450688e-201
full_sample,pearson,lm_negative_share,lm_negative_share,0.9999999999999999,2829,0.0
full_sample,pearson,lm_negative_share,lm_uncertainty_share,0.5911009190658176,2829,3.337599870728514e-266
full_sample,pearson,lm_negative_share,passive_voice_sentence_share,-0.17627044459096283,2829,3.539191521831339e-21
full_sample,pearson,lm_negative_share,fog_index,0.1846667125010552,2829,4.03721445265515e-23
full_sample,pearson,lm_negative_share,ai_lm_positive_share,-0.12060435098403224,1660,8.303685169240805e-07
full_sample,pearson,lm_negative_share,ai_lm_negative_share,-0.029726463140974577,1660,0.2260858004956887
full_sample,pearson,lm_negative_share,ai_lm_uncertainty_share,0.019050969672791636,1660,0.4379372302485249
full_sample,pearson,lm_negative_share,ai_passive_voice_sentence_share,0.05827453625502242,1660,0.017572038880382817
full_sample,pearson,lm_negative_share,ai_fog_index,0.06135411270360802,1660,0.012411296985119434
full_sample,pearson,lm_negative_share,log_report_word_count,0.06224396325423813,2829,0.000924984289357074
full_sample,pearson,lm_negative_share,report_word_count,0.04667885384780177,2829,0.013027114020109485
full_sample,pearson,lm_negative_share,numeric_token_share,-0.3153963837144782,2829,2.2691458055671913e-66
full_sample,pearson,lm_negative_share,average_word_length,0.17022371936377215,2829,7.757111900513443e-20
full_sample,pearson,lm_negative_share,lexical_density,-0.08008250217844956,2829,2.004190109626121e-05
full_sample,pearson,lm_negative_share,root_type_token_ratio,0.2710378940034139,2829,7.994329622461392e-49
full_sample,pearson,lm_uncertainty_share,lm_uncertainty_share,0.9999999999999999,2829,0.0
full_sample,pearson,lm_uncertainty_share,passive_voice_sentence_share,-0.1365945790084394,2829,2.9589817900965416e-13
full_sample,pearson,lm_uncertainty_share,fog_index,0.1327241776994292,2829,1.3642249361163044e-12
full_sample,pearson,lm_uncertainty_share,ai_lm_positive_share,-0.07709764216687016,1660,0.0016693458001840183
full_sample,pearson,lm_uncertainty_share,ai_lm_negative_share,-0.023323281498732706,1660,0.3422768555219931
full_sample,pearson,lm_uncertainty_share,ai_lm_uncertainty_share,0.06694735492276593,1660,0.006359425089843164
full_sample,pearson,lm_uncertainty_share,ai_passive_voice_sentence_share,0.013006632419580909,1660,0.5964213959500705
full_sample,pearson,lm_uncertainty_share,ai_fog_index,0.026781413419644958,1660,0.2754791313219655
full_sample,pearson,lm_uncertainty_share,log_report_word_count,-0.006878692447572311,2829,0.7145823052421155
full_sample,pearson,lm_uncertainty_share,report_word_count,-0.007838859842675764,2829,0.6768553384972414
full_sample,pearson,lm_uncertainty_share,numeric_token_share,-0.3595360859242958,2829,4.44107073946419e-87
