company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_uncertainty_count,ai_uncertainty_ratio,ai_litigious_count,ai_litigious_ratio,ai_weak_modal_count,ai_weak_modal_ratio,ai_strong_modal_count,ai_strong_modal_ratio,ai_constraining_count,ai_constraining_ratio,ai_total_eligible_word_count,uncertainty_status,ai_positive_count,ai_negative_count,ai_positive_ratio,ai_negative_ratio,ai_net_tone,ai_sentiment_word_coverage,ai_net_tone_by_words,ai_total_lm_matched_word_count,sentiment_status,lm_ai_status
S2021-129,0001688568,DXC,DXC Technology,0001688568-21-000029,2021,2021-05-28,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,1,0.009009009009009009,0,0.0,111,success,0,0,0.0,0.0,,0.0,0.0,1,success,success
S2021-130,0000927066,DVA,DaVita,0000927066-22-000012,2021,2022-02-11,1.0.3,0.3.0,1,0.05263157894736842,0,0.0,1,0.05263157894736842,0,0.0,0,0.0,19,success,1,0,0.05263157894736842,0.0,1.0,0.05263157894736842,0.05263157894736842,2,success,success
S2021-131,0000313616,DHR,Danaher Corporation,0000313616-22-000061,2021,2022-02-23,1.0.3,0.3.0,0,0.0,1,0.015384615384615385,0,0.0,0,0.0,0,0.0,65,success,2,1,0.03076923076923077,0.015384615384615385,0.3333333333333333,0.046153846153846156,0.015384615384615385,4,success,success
S2021-132,0000940944,DRI,Darden Restaurants,0000940944-21-000041,2021,2021-07-23,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-133,0000315189,DE,Deere & Company,0001558370-21-016864,2021,2021-12-16,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-134,0000027904,DAL,Delta Air Lines,0000027904-22-000003,2021,2022-02-11,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-135,0000818479,XRAY,Dentsply Sirona,0000818479-22-000015,2021,2022-03-01,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,success,0,0,0.0,0.0,,0.0,0.0,0,success,success
S2021-136,0001090012,DVN,Devon Energy,0001564590-22-005321,2021,2022-02-16,1.0.3,0.3.0,2,0.06666666666666667,0,0.0,0,0.0,0,0.0,1,0.03333333333333333,30,success,0,0,0.0,0.0,,0.0,0.0,2,success,success
S2021-137,0001093557,DXCM,Dexcom,0001093557-22-000014,2021,2022-02-14,1.0.3,0.3.0,1,0.03333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,30,success,0,0,0.0,0.0,,0.0,0.0,1,success,success
S2021-138,0001539838,FANG,Diamondback Energy,0001539838-22-000008,2021,2022-02-24,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-139,0001297996,DLR,Digital Realty,0001558370-22-002195,2021,2022-02-25,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,success,1,0,0.05263157894736842,0.0,1.0,0.05263157894736842,0.05263157894736842,1,success,success
S2021-140,0000029534,DG,Dollar General,0001558370-21-003245,2021,2021-03-19,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-141,0000935703,DLTR,Dollar Tree,0000935703-21-000014,2021,2021-03-16,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-142,0000715957,D,Dominion Energy,0001564590-22-006589,2021,2022-02-24,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-143,0001286681,DPZ,Domino's,0001193125-21-055734,2021,2021-02-25,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-144,0000029905,DOV,Dover Corporation,0000029905-22-000009,2021,2022-02-11,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,87,success,4,0,0.04597701149425287,0.0,1.0,0.04597701149425287,0.04597701149425287,4,success,success
S2021-145,0001751788,DOW,Dow Inc.,0001751788-22-000011,2021,2022-02-04,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-146,0001666700,DD,DuPont,0001666700-22-000009,2021,2022-02-11,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-147,0001326160,DUK,Duke Energy,0001326160-22-000072,2021,2022-02-24,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-148,0000821189,EOG,EOG Resources,0000821189-22-000017,2021,2022-02-24,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-149,0001352010,EPAM,EPAM Systems,0001352010-22-000020,2021,2022-02-25,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,1,0.014925373134328358,0,0.0,67,success,1,0,0.014925373134328358,0.0,1.0,0.014925373134328358,0.014925373134328358,1,success,success
S2021-150,0000915389,EMN,Eastman Chemical Co.,0000915389-22-000010,2021,2022-02-25,1.0.3,0.3.0,2,0.023529411764705882,0,0.0,0,0.0,0,0.0,0,0.0,85,success,0,0,0.0,0.0,,0.0,0.0,2,success,success
S2021-151,0001551182,ETN,Eaton Corporation,0001551182-22-000004,2021,2022-02-23,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-152,0000031462,ECL,Ecolab,0001558370-22-002059,2021,2022-02-25,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30,success,0,0,0.0,0.0,,0.0,0.0,0,success,success
S2021-153,0000827052,EIX,Edison International,0000827052-22-000006,2021,2022-02-24,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-154,0001099800,EW,Edwards Lifesciences,0001099800-22-000005,2021,2022-02-14,1.0.3,0.3.0,2,0.038461538461538464,0,0.0,0,0.0,0,0.0,0,0.0,52,success,0,0,0.0,0.0,,0.0,0.0,2,success,success
S2021-155,0000712515,EA,Electronic Arts,0000712515-21-000064,2021,2021-05-26,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-156,0000032604,EMR,Emerson Electric,0000032604-21-000038,2021,2021-11-15,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-157,0001463101,ENPH,Enphase Energy,0001463101-22-000016,2021,2022-02-11,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-158,0000065984,ETR,Entergy,0000065984-22-000017,2021,2022-02-25,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-159,0000033185,EFX,Equifax,0000033185-22-000014,2021,2022-02-24,1.0.3,0.3.0,5,0.021929824561403508,6,0.02631578947368421,5,0.021929824561403508,0,0.0,4,0.017543859649122806,228,success,2,1,0.008771929824561403,0.0043859649122807015,0.3333333333333333,0.013157894736842105,0.0043859649122807015,18,success,success
S2021-160,0001101239,EQIX,Equinix,0001628280-22-003171,2021,2022-02-18,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
