sample_order,company_id,final_sample_id,ticker,symbol,company_name,security,_company_key,cik,gics_sector,gics_sub_industry,accession_number,primary_document,form,filing_date,report_date,report_year,filing_url,source_manifest,sample_group,batch_id,r2_object_key,universe_order
98,S2024-098,S2024-098,COR,COR,Cencora,Cencora,cik:0001140859,0001140859,Health Care,Health Care Distributors,0001140859-24-000177,cor-20240930.htm,10-K,2024-11-26,2024-09-30,2024,https://www.sec.gov/Archives/edgar/data/1140859/000114085924000177/cor-20240930.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001140859/0001140859-24-000177.html,99
99,S2024-099,S2024-099,CNC,CNC,Centene Corporation,Centene Corporation,cik:0001071739,0001071739,Health Care,Managed Health Care,0001071739-25-000027,cnc-20241231.htm,10-K,2025-02-18,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1071739/000107173925000027/cnc-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001071739/0001071739-25-000027.html,100
100,S2024-100,S2024-100,CNP,CNP,CenterPoint Energy,CenterPoint Energy,cik:0001130310,0001130310,Utilities,Multi-Utilities,0001130310-25-000040,cnp-20241231.htm,10-K,2025-02-20,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1130310/000113031025000040/cnp-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001130310/0001130310-25-000040.html,101
101,S2024-101,S2024-101,CRL,CRL,Charles River Laboratories,Charles River Laboratories,cik:0001100682,0001100682,Health Care,Life Sciences Tools & Services,0001100682-25-000011,crl-20241228.htm,10-K,2025-02-19,2024-12-28,2024,https://www.sec.gov/Archives/edgar/data/1100682/000110068225000011/crl-20241228.htm,2024/sp500_companies.csv,sample_2024,2,2024/sample_500/html/raw/0001100682/0001100682-25-000011.html,102
102,S2024-102,S2024-102,SCHW,SCHW,Charles Schwab Corporation,Charles Schwab Corporation,cik:0000316709,0000316709,Financials,Investment Banking & Brokerage,0000316709-25-000010,schw-20241231.htm,10-K,2025-02-26,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/316709/000031670925000010/schw-20241231.htm,2024/sp500_companies.csv,sample_2024,2,2024/sample_500/html/raw/0000316709/0000316709-25-000010.html,103
103,S2024-103,S2024-103,CHTR,CHTR,Charter Communications,Charter Communications,cik:0001091667,0001091667,Communication Services,Cable & Satellite,0001091667-25-000034,chtr-20241231.htm,10-K,2025-01-31,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1091667/000109166725000034/chtr-20241231.htm,2024/sp500_companies.csv,sample_2024,2,2024/sample_500/html/raw/0001091667/0001091667-25-000034.html,104
104,S2024-104,S2024-104,CVX,CVX,Chevron Corporation,Chevron Corporation,cik:0000093410,0000093410,Energy,Integrated Oil & Gas,0000093410-25-000009,cvx-20241231.htm,10-K,2025-02-21,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/93410/000009341025000009/cvx-20241231.htm,2024/sp500_companies.csv,sample_2024,2,2024/sample_500/html/raw/0000093410/0000093410-25-000009.html,105
105,S2024-105,S2024-105,CMG,CMG,Chipotle Mexican Grill,Chipotle Mexican Grill,cik:0001058090,0001058090,Consumer Discretionary,Restaurants,0001058090-25-000014,cmg-20241231.htm,10-K,2025-02-05,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1058090/000105809025000014/cmg-20241231.htm,2024/sp500_companies.csv,sample_2024,2,2024/sample_500/html/raw/0001058090/0001058090-25-000014.html,106
106,S2024-106,S2024-106,CB,CB,Chubb Limited,Chubb Limited,cik:0000896159,0000896159,Financials,Property & Casualty Insurance,0000896159-25-000004,cb-20241231.htm,10-K,2025-02-27,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/896159/000089615925000004/cb-20241231.htm,2024/sp500_companies.csv,sample_2024,2,2024/sample_500/html/raw/0000896159/0000896159-25-000004.html,107
107,S2024-107,S2024-107,CHD,CHD,Church & Dwight,Church & Dwight,cik:0000313927,0000313927,Consumer Staples,Household Products,0000950170-25-019801,chd-20241231.htm,10-K,2025-02-13,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/313927/000095017025019801/chd-20241231.htm,2024/sp500_companies.csv,sample_2024,2,2024/sample_500/html/raw/0000313927/0000950170-25-019801.html,108
108,S2024-108,S2024-108,CI,CI,Cigna,Cigna,cik:0001739940,0001739940,Health Care,Health Care Services,0001739940-25-000009,ci-20241231.htm,10-K,2025-02-27,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1739940/000173994025000009/ci-20241231.htm,2024/sp500_companies.csv,sample_2024,2,2024/sample_500/html/raw/0001739940/0001739940-25-000009.html,109
