company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,warning_type,warning_detail
P2025-091,0000920522,ESS,Essex Property Trust,0000920522-26-000003,2025,2026-02-20,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-092,0001705696,VICI,Vici Properties,0001705696-26-000034,2025,2026-02-25,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-093,0000074208,UDR,"UDR, Inc.",0000074208-26-000013,2025,2026-02-17,1.0.3,0.3.0,single_ai_sentence,AI-level values retained from one direct AI sentence
P2025-093,0000074208,UDR,"UDR, Inc.",0000074208-26-000013,2025,2026-02-17,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-094,0001687229,INVH,Invitation Homes,0001687229-26-000016,2025,2026-02-19,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-095,0001004980,PCG,PG&E Corporation,0001004980-26-000009,2025,2026-02-12,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-096,0000715957,D,Dominion Energy,0001193125-26-063120,2025,2026-02-23,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-097,0000764622,PNW,Pinnacle West Capital,0000764622-26-000011,2025,2026-02-25,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-098,0000065984,ETR,Entergy,0000065984-26-000174,2025,2026-02-19,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-099,0001013871,NRG,NRG Energy,0001013871-26-000004,2025,2026-02-24,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-100,0000788784,PEG,Public Service Enterprise Group,0001193125-26-077446,2025,2026-02-26,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-R001,0000049826,ITW,Illinois Tool Works,0000049826-26-000008,2025,2026-02-13,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
