company_id,cik,ticker,company_name,accession_number,report_year,filing_date,ai_disclosure_binary,ai_term_count,ai_terms_per_1000_words,ai_sentence_count,ai_sentence_ratio,total_analysis_word_count,total_analysis_sentence_count,ai_detection_status
S2022-176,0001013237,FDS,FactSet,0001013237-22-000159,2022,2022-10-21,1,2,0.04065784391453721,2,0.0008385744234800838,49191,2385,success
S2022-177,0000815556,FAST,Fastenal,0000815556-23-000009,2022,2023-02-07,0,0,0.0,0,0.0,37019,1929,success
S2022-178,0001048911,FDX,FedEx,0000950170-22-012762,2022,2022-07-18,1,2,0.025177184435464583,1,0.000258732212160414,79437,3865,success
S2022-179,0000034903,FRT,Federal Realty Investment Trust,0000034903-23-000020,2022,2023-02-08,0,0,0.0,0,0.0,43211,2119,success
S2022-180,0001136893,FIS,Fidelity National Information Services,0001136893-23-000028,2022,2023-02-27,1,5,0.0959103813396762,3,0.0012391573729863693,52132,2421,success
S2022-181,0000035527,FITB,Fifth Third Bancorp,0000035527-23-000122,2022,2023-02-24,0,0,0.0,0,0.0,107978,5080,success
S2022-182,0001274494,FSLR,First Solar,0001274494-23-000002,2022,2023-02-28,0,0,0.0,0,0.0,59869,2540,success
S2022-183,0001031296,FE,FirstEnergy,0001031296-23-000014,2022,2023-02-13,0,0,0.0,0,0.0,79142,3511,success
S2022-184,0000798354,FISV,Fiserv,0000798354-23-000004,2022,2023-02-23,0,0,0.0,0,0.0,54395,2328,success
S2022-185,0000037996,F,Ford Motor Company,0000037996-23-000012,2022,2023-02-03,1,49,0.6765339371513779,34,0.00904977375565611,72428,3757,success
S2022-186,0001262039,FTNT,Fortinet,0001262039-23-000010,2022,2023-02-24,1,11,0.17135023989033585,9,0.0032165832737669764,64196,2798,success
S2022-187,0001659166,FTV,Fortive,0001659166-23-000080,2022,2023-02-28,0,0,0.0,0,0.0,56290,2349,success
S2022-188,0001754301,FOXA|FOX,Fox Corporation (Class A)|Fox Corporation (Class B),0001628280-22-022584,2022,2022-08-12,0,0,0.0,0,0.0,48715,2245,success
S2022-189,0000038777,BEN,Franklin Resources,0000038777-22-000198,2022,2022-11-14,0,0,0.0,0,0.0,44552,1962,success
S2022-190,0000831259,FCX,Freeport-McMoRan,0000831259-23-000013,2022,2023-02-15,0,0,0.0,0,0.0,92432,4404,success
S2022-191,0000040545,GE,GE Aerospace,0000040545-23-000023,2022,2023-02-10,1,2,0.037465812446142895,1,0.0004391743522178305,53382,2277,success
S2022-192,0001121788,GRMN,Garmin,0000950170-23-003566,2022,2023-02-22,1,1,0.019288263091908574,1,0.00044033465433729633,51845,2271,success
S2022-193,0000749251,IT,Gartner,0000749251-23-000006,2022,2023-02-16,1,2,0.053190074732055,1,0.0005336179295624333,37601,1874,success
S2022-194,0000849399,GEN,Gen Digital,0000849399-22-000013,2022,2022-05-20,0,0,0.0,0,0.0,43668,2144,success
S2022-195,0001474735,GNRC,Generac,0001437749-23-004153,2022,2023-02-22,0,0,0.0,0,0.0,45297,2171,success
S2022-196,0000040533,GD,General Dynamics,0000040533-23-000014,2022,2023-02-07,1,7,0.20168260919672698,5,0.002581311306143521,34708,1937,success
S2022-197,0000040704,GIS,General Mills,0001193125-22-185257,2022,2022-06-30,0,0,0.0,0,0.0,36802,6905,success
S2022-198,0001467858,GM,General Motors,0001467858-23-000029,2022,2023-01-31,0,0,0.0,0,0.0,51525,2393,success
S2022-199,0000040987,GPC,Genuine Parts Company,0000040987-23-000008,2022,2023-02-23,0,0,0.0,0,0.0,33726,1746,success
