company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_concreteness_mean,ai_concreteness_median,ai_concreteness_standard_deviation,ai_concreteness_min,ai_concreteness_max,ai_concreteness_matched_token_count,ai_concreteness_eligible_token_count,ai_concreteness_unmatched_token_count,ai_concreteness_coverage,ai_concreteness_unique_dictionary_entries,ai_concreteness_stem_collision_count,ai_concreteness_status
S2022-102,0000313927,CHD,Church & Dwight,0000950170-23-003066,2022,2023-02-16,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-103,0001739940,CI,Cigna,0001739940-23-000008,2022,2023-02-23,1.0.3,0.3.0,2.8617525773195873,2.83,0.716835845576703,1.62,4.69,97,134,37,0.7238805970149254,78,20,warning_stem_collisions
S2022-104,0000020286,CINF,Cincinnati Financial,0000020286-23-000008,2022,2023-02-23,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-105,0000723254,CTAS,Cintas,0000723254-22-000019,2022,2022-07-27,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-106,0000858877,CSCO,Cisco,0000858877-22-000013,2022,2022-09-08,1.0.3,0.3.0,2.823170731707317,2.59,0.7335561196028438,1.67,4.82,41,62,21,0.6612903225806451,29,12,warning_stem_collisions
S2022-107,0000831001,C,Citigroup,0000831001-23-000037,2022,2023-02-27,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-108,0000759944,CFG,Citizens Financial Group,0000759944-23-000029,2022,2023-02-17,1.0.3,0.3.0,2.7521428571428572,2.725,0.5624967120085309,1.83,3.93,14,19,5,0.7368421052631579,14,3,warning_stem_collisions
S2022-109,0000021076,CLX,Clorox,0000021076-22-000026,2022,2022-08-10,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-110,0001057352,CSGP,CoStar Group,0001057352-23-000030,2022,2023-02-22,1.0.3,0.3.0,2.6993333333333336,2.52,0.9067264686160258,1.5,4.93,15,28,13,0.5357142857142857,15,13,warning_stem_collisions
S2022-111,0000021344,KO,Coca-Cola Company (The),0000021344-23-000011,2022,2023-02-21,1.0.3,0.3.0,2.95375,2.935,0.7002488396991459,1.72,3.97,32,45,13,0.7111111111111111,25,10,warning_stem_collisions
S2022-112,0001058290,CTSH,Cognizant,0001058290-23-000027,2022,2023-02-15,1.0.3,0.3.0,2.8552808988764045,2.61,0.7751956474867091,1.66,4.7,89,121,32,0.7355371900826446,65,15,warning_stem_collisions
S2022-113,0000021665,CL,Colgate-Palmolive,0000021665-23-000007,2022,2023-02-16,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-114,0001166691,CMCSA,Comcast,0001166691-23-000010,2022,2023-02-03,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-115,0000023217,CAG,Conagra Brands,0001437749-22-017530,2022,2022-07-21,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-116,0001163165,COP,ConocoPhillips,0001163165-23-000006,2022,2023-02-16,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-117,0001047862,ED,Consolidated Edison,0001047862-23-000038,2022,2023-02-16,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-118,0000016918,STZ,Constellation Brands,0000016918-22-000069,2022,2022-04-21,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-119,0001868275,CEG,Constellation Energy,0001868275-23-000014,2022,2023-02-16,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-120,0000711404,COO,Cooper Companies (The),0000711404-22-000053,2022,2022-12-09,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-121,0000900075,CPRT,Copart,0000900075-22-000050,2022,2022-09-27,1.0.3,0.3.0,2.86375,2.785,0.923518238856169,1.68,4.64,16,22,6,0.7272727272727273,16,4,warning_stem_collisions
S2022-122,0000024741,GLW,Corning Inc.,0001437749-23-003123,2022,2023-02-13,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-123,0001755672,CTVA,Corteva,0001755672-23-000005,2022,2023-02-09,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
