variable,report_year,paired_firm_count,mean_within_firm_change,median_within_firm_change,standard_deviation,p25,p75
future_tense_share,2024,465,1.9272350153143064e-05,-0.0002354480052321,0.0042369468160114,-0.0021985057862623,0.0021342629679192
future_tense_share,2025,462,5.60042602156562e-05,-0.0001509858227295,0.0047235077606117,-0.002504026219784,0.002095862077007
lm_uncertainty_share,2007,12,0.0002355133333333,0.000538625,0.0013397593996367,-0.0010595975,0.0008302949999999
lm_uncertainty_share,2008,20,0.000571462,0.000492835,0.0011775559800419,-0.0001115674999999,0.001090095
lm_uncertainty_share,2009,33,3.7746969696969885e-05,7.855999999999835e-05,0.0008174618515888,-0.0006192899999999,0.00048629
lm_uncertainty_share,2010,39,0.0004235841025641,0.00025393,0.0007061455285999,-0.000102535,0.00072262
lm_uncertainty_share,2011,43,0.0001386953488372,2.877000000000088e-05,0.0013030634969368,-0.0002404799999999,0.0008818899999999
lm_uncertainty_share,2012,49,6.231142857142894e-05,0.0001133899999999,0.000808908967661,-0.0004259199999999,0.00045351
lm_uncertainty_share,2013,67,-2.4029850746271715e-06,6.830999999999851e-05,0.0007204920038229,-0.000407555,0.0004391499999999
lm_uncertainty_share,2014,90,0.0003267503333333,0.0001822299999999,0.0011833741658195,-0.0001578674999999,0.000560245
lm_uncertainty_share,2015,131,6.050931297709911e-05,5.633000000000027e-05,0.0008552025673507,-0.00041257,0.000466705
lm_uncertainty_share,2016,171,0.0001266398830409,0.00016686,0.0008283528980182,-0.0002928449999999,0.0005709499999999
lm_uncertainty_share,2017,239,7.973497907949785e-05,6.254999999999976e-05,0.0010335504008143,-0.000399255,0.000479905
lm_uncertainty_share,2018,306,-2.91277450980391e-05,-1.789500000000041e-05,0.0009710594810863,-0.0004202074999999,0.00039027
lm_uncertainty_share,2019,373,0.0002436630831099,0.0002734399999999,0.0011724251140729,-0.0001557699999999,0.0007945799999999
lm_uncertainty_share,2020,424,4.023021226415088e-05,3.7449999999994432e-06,0.0011375988806709,-0.000577625,0.0006161199999999
lm_uncertainty_share,2021,434,0.0002432179493087,0.000231625,0.0008590631038629,-0.0002204725,0.0007399999999999
lm_uncertainty_share,2022,452,8.991103982300895e-05,8.329000000000149e-05,0.0008130569275594,-0.0003259975,0.000547715
lm_uncertainty_share,2023,458,0.000265397532751,0.0002401599999999,0.0007434405067533,-0.0001379099999999,0.00067364
lm_uncertainty_share,2024,465,0.000225635376344,0.00019939,0.0006781537664652,-0.0001669,0.00059642
lm_uncertainty_share,2025,462,0.0002577441341991,0.000218155,0.000638043344757,-0.0001115049999999,0.000563495
passive_voice_sentence_share,2007,12,0.0005136017928091,0.0007169035421678,0.0119987029338592,-0.0094786130589751,0.0120232157007312
passive_voice_sentence_share,2008,20,-0.0032483216683234,-0.0006357261040952,0.0231089369103129,-0.0089608514674942,0.0129941212594454
passive_voice_sentence_share,2009,33,-0.0021721691778826,-0.0012679924869962,0.0146709415550661,-0.007222469977638,0.0075929936088676
passive_voice_sentence_share,2010,39,0.0004895050058598,0.0020836106536645,0.0183588230954083,-0.0071930572556355,0.0089231552628144
passive_voice_sentence_share,2011,43,-0.0010833274922462,-0.0009286055180163,0.0148902011662565,-0.0086800973075455,0.0068244660146128
passive_voice_sentence_share,2012,49,-0.0006249164409332,-0.0018095848806645,0.0115792516841701,-0.006168726569822,0.0067906334350799
passive_voice_sentence_share,2013,67,-0.0021403569549737,-0.001036134541289,0.0117696401644883,-0.0080944064004492,0.005147772690573
passive_voice_sentence_share,2014,90,0.0010605659324368,0.0016112593146918,0.0108417117525909,-0.0063154850567081,0.0084701231646405
passive_voice_sentence_share,2015,131,0.0003959274297356,0.0006189799925495,0.0113557493395952,-0.0058931588604621,0.005503220998963
