report_year,original_ticker,original_company_name,original_exclusion_reason,matched_panel_company_id,matched_panel_cik,matched_panel_ticker_history,matched_panel_company_name_history,candidate_cik_count,identity_match_method,identity_match_status,sec_lookup_status,eligible_filing_count,selected_accession_number,selected_filing_date,selected_report_date,selected_primary_document,recovery_status,recovery_reason,requires_manual_review
2020,WLTW,Willis Towers Watson,cik_missing_in_2020_universe,cik:0001140536,0001140536,WTW,Willis Towers Watson,1,normalized_company_name,unique_panel_cik_match,success,1,0001564590-21-007578,2021-02-23,2020-12-31,wltw-10k_20201231.htm,recovered,unique_panel_cik_and_unique_filing,0
2020,XLNX,Xilinx,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,ABMD,Abiomed,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,ATVI,Activision Blizzard,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,ANSS,Ansys,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,BLK,BlackRock,no_unique_eligible_2021_report_date_10k,cik:0002012383,0002012383,BLK,BlackRock,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,0
2021,CTLT,Catalent,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,CDAY,Ceridian,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,CERN,Cerner,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,CTXS,Citrix Systems,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,CMA,Comerica,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,CTRA,Coterra Energy,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,DFS,Discover Financial,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,DISCA|DISCK,"Discovery, Inc.",cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,DISH,Dish Network,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,DRE,Duke Realty,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,RE,Everest Re Group,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2021,FLT,FLEETCOR Technologies,cik_missing_in_2021_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
